
AvgTime(ms)	NodeCount	EdgeCount	Algorithm
155.48634860251	700	244650	Prims
13179.430961609	700	244650	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
198.43408935948	800	63920	Prims
1077.4437189102	800	63920	Kruskal
204.15300235414	800	127840	Prims
3929.9855232239	800	127840	Kruskal
209.1287119048	800	191760	Prims
8028.27501297	800	191760	Kruskal
223.43841899525	800	255680	Prims
15579.304933548	800	255680	Kruskal
206.92966042495	800	319600	Prims
26720.567941666	800	319600	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
259.52666714078	900	80910	Prims
1602.4350325267	900	80910	Kruskal
281.62581421608	900	161820	Prims
5698.9350318909	900	161820	Kruskal
262.20945517222	900	242730	Prims
13002.083778381	900	242730	Kruskal
264.80065390121	900	323640	Prims
25748.226881027	900	323640	Kruskal
261.54374521832	900	404550	Prims
37757.433176041	900	404550	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
331.83968407767	1000	99900	Prims
2414.2637252808	1000	99900	Kruskal
310.0219435162	1000	199800	Prims
8312.4151229858	1000	199800	Kruskal
308.38826043265	1000	299700	Prims
18872.807979584	1000	299700	Kruskal
315.36699703762	1000	399600	Prims
37617.424964905	1000	399600	Kruskal
320.41856120614	1000	499500	Prims
56012.942075729	1000	499500	Kruskal

